Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
C0116,02,000,00000,HIMACHAL PRADESH,006438, Padari,3,2,1,3,2,1,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,006439, Pahari,2190065,1097622,1092443,2069898,1034821,1035077,120167,62801,57366
C0116,02,000,00000,HIMACHAL PRADESH,006451, Panch Pargania,3,2,1,0,0,0,3,2,1
C0116,02,000,00000,HIMACHAL PRADESH,006454, Pangwali,18640,9328,9312,18152,9074,9078,488,254,234
C0116,02,000,00000,HIMACHAL PRADESH,006489, Rajasthani,6193,3345,2848,4018,2149,1869,2175,1196,979
C0116,02,000,00000,HIMACHAL PRADESH,006503, Sadan/Sadri,2973,1755,1218,2118,1282,836,855,473,382
C0116,02,000,00000,HIMACHAL PRADESH,006530, Sirmauri,107322,55080,52242,105694,54114,51580,1628,966,662
C0116,02,000,00000,HIMACHAL PRADESH,006541, Sugali,1,1,0,1,1,0,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,006547, Surgujia,1,1,0,1,1,0,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,006548, Surjapuri,138,128,10,41,34,7,97,94,3
C0116,02,000,00000,HIMACHAL PRADESH,006999,6 Others,81148,40374,40774,75236,36856,38380,5912,3518,2394
C0116,02,000,00000,HIMACHAL PRADESH,007000,7 KANNADA,462,331,131,277,203,74,185,128,57
C0116,02,000,00000,HIMACHAL PRADESH,007016, Kannada,457,328,129,273,201,72,184,127,57
C0116,02,000,00000,HIMACHAL PRADESH,007999,7 Others,5,3,2,4,2,2,1,1,0
C0116,02,000,00000,HIMACHAL PRADESH,008000,8 KASHMIRI ,57050,29937,27113,54378,27908,26470,2672,2029,643
C0116,02,000,00000,HIMACHAL PRADESH,008005, Kashmiri,9827,5998,3829,7884,4339,3545,1943,1659,284
C0116,02,000,00000,HIMACHAL PRADESH,008010, Kishtwari,13,12,1,11,11,0,2,1,1
C0116,02,000,00000,HIMACHAL PRADESH,008018, Siraji,47192,23909,23283,46465,23540,22925,727,369,358
C0116,02,000,00000,HIMACHAL PRADESH,008019, Dardi,3,3,0,3,3,0,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,008999,8 Others,15,15,0,15,15,0,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,009000,9 KONKANI,80,45,35,46,25,21,34,20,14
C0116,02,000,00000,HIMACHAL PRADESH,009011, Konkani,37,17,20,12,5,7,25,12,13
